,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002407550811767578,0.0026483831684731363,0.002592802047729492,0.0007979870554864428,ball_tree,3,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.8004668291302137,0.8342217306600934,0.7227085573993208,0.8000124424179887,0.8412281479163057,0.7712530810760982,0.8532574478404864,0.7083374134270487,0.7436598527414258,0.8135454303636921,0.7888690932972674,0.04798808511023836,31
1,0.0015975713729858398,0.0004905047034097982,0.0032921075820922852,0.0007846184135040303,ball_tree,3,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7919566643638496,0.83940833274102,0.7289042292455599,0.7803149210124046,0.8455122680404126,0.7752642505523346,0.8544656918059435,0.7259960656296769,0.7365710971295251,0.8016105606280006,0.7880004081148728,0.04557637347507821,34
2,0.0015956640243530273,0.0006614871127137487,0.0032912731170654298,0.0007792529839599117,ball_tree,3,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8126227516563527,0.839068804227138,0.7364389510119982,0.8030508957923401,0.8580814085449887,0.7847415493779055,0.8682436092893189,0.7392227044976112,0.7535398057215198,0.8138609560231076,0.8008871436142281,0.04476065900366968,25
3,0.0014955997467041016,0.0004982473154548697,0.003091716766357422,0.0009413535029639382,ball_tree,3,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8030710327714267,0.8448223858934415,0.7283947857267666,0.7862220211893965,0.863582536255498,0.7880789019916729,0.8687143529475816,0.7482522683106658,0.743057316927985,0.8055401442269439,0.7979735746241378,0.047065971589400714,28
4,0.0009978532791137696,1.3780923859232352e-06,0.001993870735168457,1.2725835938532368e-06,ball_tree,5,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.8128746973472342,0.8275284626307609,0.7716589540005365,0.8283212454469522,0.8381161422440845,0.7578870602313581,0.8573703695749573,0.7303890693767684,0.7702833111998154,0.8362216436653445,0.8030650955717812,0.03999175394498103,22
5,0.0010968446731567383,0.00029925606837640965,0.0019948720932006837,8.55985787916958e-07,ball_tree,5,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8046572125936736,0.8398074330674938,0.7586858460795086,0.8120984639634314,0.8469252641572182,0.7783585456971175,0.864737603538655,0.7376200229129689,0.7639036154198863,0.8267015718629596,0.8033495579292914,0.04014452995287493,20
6,0.001197075843811035,0.000398886402382654,0.001994419097900391,6.468133910298603e-07,ball_tree,5,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8126108477175997,0.8303192848441041,0.7737988853222019,0.8334491908657833,0.854656028038111,0.7896628691086814,0.8610594169080765,0.763884499384262,0.7687757534258661,0.8317449370449674,0.8119961712659653,0.03399113428393259,7
7,0.0009974956512451172,3.814697265625e-07,0.0020941019058227537,0.00029927114615559705,ball_tree,5,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8103532060929014,0.8378850016890332,0.7563027974348182,0.8197440231601381,0.8635116576245201,0.7984618705682058,0.8687290018026999,0.7648363868088013,0.763657166450159,0.825205875451405,0.810868698708268,0.03822674150560285,10
8,0.001296830177307129,0.00045716866738052697,0.0020944356918334963,0.0002996378466655962,ball_tree,7,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8184467736161489,0.8250047767487015,0.7989510002215241,0.8447280399125332,0.8473077312643469,0.7609889982851215,0.852391750915517,0.7511621170488791,0.7773179895505906,0.8205135227649404,0.8096812700328304,0.03443129776691287,17
9,0.0010972738265991211,0.00029927133609506014,0.002094125747680664,0.0002991838780638722,ball_tree,7,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8111770659671695,0.8370129551691552,0.7783137200761454,0.8289527649700271,0.8571990279829527,0.7794303557929584,0.8674773724004773,0.753409167396606,0.7726583353896639,0.8205236143434905,0.8106154379488647,0.03641990343892376,14
10,0.0011968135833740235,0.0005982084906847103,0.002792692184448242,0.000599337164755456,ball_tree,7,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8184166127811586,0.8405145261748035,0.7980814313962308,0.8406068300372721,0.8507232086644834,0.7769271021657571,0.8665054754664974,0.7593512980460215,0.7752012189235429,0.8255674116216385,0.8151895115277406,0.034314940235000174,1
11,0.0011970281600952148,0.0003998652188050348,0.002093958854675293,0.0002992402603953405,ball_tree,7,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.813692631758592,0.8424926319842005,0.7756090291070875,0.8321780313956308,0.8612315924654359,0.7946081449604229,0.874356083173732,0.7580705523339292,0.7727892162429186,0.8235307524483293,0.8148558665870279,0.0371158970646049,4
